strategy_code,future_id,region,time_period,difference_variable,difference_value,variable,value
TORNADO:LNDU:INC_REFORESTATION,0,iran,7,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,8,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,9,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,10,pop_lvst_buffalo,973.0,cb:lvst:lvst_value:livestock_produced:buffalo,252980.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,11,pop_lvst_buffalo,1380.0,cb:lvst:lvst_value:livestock_produced:buffalo,358800.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,12,pop_lvst_buffalo,1787.0,cb:lvst:lvst_value:livestock_produced:buffalo,464620.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,13,pop_lvst_buffalo,2187.0,cb:lvst:lvst_value:livestock_produced:buffalo,568620.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,14,pop_lvst_buffalo,2578.0,cb:lvst:lvst_value:livestock_produced:buffalo,670280.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,15,pop_lvst_buffalo,2956.0,cb:lvst:lvst_value:livestock_produced:buffalo,768560.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,16,pop_lvst_buffalo,3318.0,cb:lvst:lvst_value:livestock_produced:buffalo,862680.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,17,pop_lvst_buffalo,3667.0,cb:lvst:lvst_value:livestock_produced:buffalo,953420.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,18,pop_lvst_buffalo,3998.0,cb:lvst:lvst_value:livestock_produced:buffalo,1039480.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,19,pop_lvst_buffalo,4309.0,cb:lvst:lvst_value:livestock_produced:buffalo,1120340.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,20,pop_lvst_buffalo,4601.0,cb:lvst:lvst_value:livestock_produced:buffalo,1196260.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,21,pop_lvst_buffalo,4871.0,cb:lvst:lvst_value:livestock_produced:buffalo,1266460.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,22,pop_lvst_buffalo,5119.0,cb:lvst:lvst_value:livestock_produced:buffalo,1330940.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,23,pop_lvst_buffalo,5343.0,cb:lvst:lvst_value:livestock_produced:buffalo,1389180.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,24,pop_lvst_buffalo,5541.0,cb:lvst:lvst_value:livestock_produced:buffalo,1440660.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,25,pop_lvst_buffalo,5713.0,cb:lvst:lvst_value:livestock_produced:buffalo,1485380.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,26,pop_lvst_buffalo,5857.0,cb:lvst:lvst_value:livestock_produced:buffalo,1522820.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,27,pop_lvst_buffalo,5973.0,cb:lvst:lvst_value:livestock_produced:buffalo,1552980.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,28,pop_lvst_buffalo,6059.0,cb:lvst:lvst_value:livestock_produced:buffalo,1575340.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,29,pop_lvst_buffalo,6113.0,cb:lvst:lvst_value:livestock_produced:buffalo,1589380.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,30,pop_lvst_buffalo,6137.0,cb:lvst:lvst_value:livestock_produced:buffalo,1595620.0
TORNADO:LNDU:INC_REFORESTATION,0,iran,31,pop_lvst_buffalo,6394.0,cb:lvst:lvst_value:livestock_produced:buffalo,1662440.0
