"","region","strategy_code","variable","future_id","value"
"1","brazil","PFLO:ALL_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X",0,6589033296.88583
"2","brazil","PFLO:ALL_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2015",0,0
"3","brazil","PFLO:ALL_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2016",0,2.8419063754701e-06
"4","brazil","PFLO:ALL_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2017",0,1.89713376199606e-06
"5","brazil","PFLO:ALL_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2018",0,4.60985773942968e-06
"6","brazil","PFLO:ALL_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2019",0,6.95952642185646e-06
"7","brazil","PFLO:ALL_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2020",0,8.67230706773391e-06
"8","brazil","PFLO:ALL_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2021",0,9.55227414002733e-06
"9","brazil","PFLO:ALL_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2022",0,1.05505151928934e-05
"10","brazil","PFLO:ALL_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2023",0,1.11244349026434e-05
"11","brazil","PFLO:ALL_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2024",0,1.13418197817945e-05
"12","brazil","PFLO:ALL_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices",0,734259134.34833
"13","brazil","PFLO:ALL_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2015",0,0
"14","brazil","PFLO:ALL_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2016",0,4.17586242926219e-06
"15","brazil","PFLO:ALL_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2017",0,3.90267516753476e-06
"16","brazil","PFLO:ALL_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2018",0,8.51050659587018e-06
"17","brazil","PFLO:ALL_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2019",0,1.07943675114508e-05
"18","brazil","PFLO:ALL_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2020",0,1.38048969649642e-05
"19","brazil","PFLO:ALL_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2021",0,1.48866609974452e-05
"20","brazil","PFLO:ALL_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2022",0,1.76228385639538e-05
"21","brazil","PFLO:ALL_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2023",0,1.95038793747644e-05
