"region","time_period","strategy_code","future_id","value","difference_value","difference_variable","variable"
"brazil",0,"PFLO:ALL_PLUR",0,-1224704735.81335,1224.70473581335,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",1,"PFLO:ALL_PLUR",0,178284898.170659,-178.284898170659,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",2,"PFLO:ALL_PLUR",0,0,0,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",3,"PFLO:ALL_PLUR",0,0,0,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",4,"PFLO:ALL_PLUR",0,0,0,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",5,"PFLO:ALL_PLUR",0,530162358.353527,-530.162358353527,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",6,"PFLO:ALL_PLUR",0,-0.000182126314030029,1.82126314030029e-10,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",7,"PFLO:ALL_PLUR",0,0.000110098596906028,-1.10098596906028e-10,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",8,"PFLO:ALL_PLUR",0,5.71986902286881e-07,-5.71986902286881e-13,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",9,"PFLO:ALL_PLUR",0,4.33431068813661e-07,-4.33431068813661e-13,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",10,"PFLO:ALL_PLUR",0,5115347581.46497,-5115.34758146497,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",11,"PFLO:ALL_PLUR",0,-4531515611.5061,4531.5156115061,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",12,"PFLO:ALL_PLUR",0,-6002576834.84426,6002.57683484426,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",13,"PFLO:ALL_PLUR",0,-7151176788.80993,7151.17678880993,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",14,"PFLO:ALL_PLUR",0,-8929312966.73539,8929.31296673539,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",15,"PFLO:ALL_PLUR",0,-29517807263.4992,29517.8072634992,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",16,"PFLO:ALL_PLUR",0,-14826403485.7316,14826.4034857316,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",17,"PFLO:ALL_PLUR",0,124143064.212218,-124.143064212217,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",18,"PFLO:ALL_PLUR",0,-5513667767.78751,5513.66776778751,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",19,"PFLO:ALL_PLUR",0,-10577635403.3595,10577.6354033595,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",20,"PFLO:ALL_PLUR",0,-10344376413.9376,10344.3764139376,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",21,"PFLO:ALL_PLUR",0,-10078285235.902,10078.285235902,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",22,"PFLO:ALL_PLUR",0,-10013734921.8033,10013.7349218033,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",23,"PFLO:ALL_PLUR",0,-8037425857.41992,8037.42585741991,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",24,"PFLO:ALL_PLUR",0,-3956022009.87552,3956.02200987552,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",25,"PFLO:ALL_PLUR",0,10989328595.812,-10989.328595812,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",26,"PFLO:ALL_PLUR",0,-2915523672.12176,2915.52367212176,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",27,"PFLO:ALL_PLUR",0,-1032842182.08169,1032.84218208169,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",28,"PFLO:ALL_PLUR",0,-1884634723.41683,1884.63472341683,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",29,"PFLO:ALL_PLUR",0,-1166401759.77226,1166.40175977226,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",30,"PFLO:ALL_PLUR",0,-31727198607.3995,31727.1986073995,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",31,"PFLO:ALL_PLUR",0,5532264711.85064,-5532.26471185064,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",32,"PFLO:ALL_PLUR",0,6928404906.76377,-6928.40490676377,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",33,"PFLO:ALL_PLUR",0,6805854470.96977,-6805.85447096977,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",34,"PFLO:ALL_PLUR",0,3306320404.49381,-3306.32040449381,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",35,"PFLO:ALL_PLUR",0,1853772082.74344,-1853.77208274344,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"brazil",0,"PFLO:ALL_PLUR",0,-11697419.0625632,11.6974190625632,"nemomod_entc_discounted_operating*","cb:entc:technical_cost:electricity:opex"
"brazil",1,"PFLO:ALL_PLUR",0,-11249895.1389636,11.2498951389636,"nemomod_entc_discounted_operating*","cb:entc:technical_cost:electricity:opex"
