output_variable_name,transformation_code,include,include_variant,test_id_variant_suffix,comparison_id_variant,cb_function,difference_variable,multiplier,multiplier_unit,annual_change,arg1,arg2,sum,natural_multiplier_units
cb:inen:technical_cost:fuel_switch:lo_heat,TX:INEN:SHIFT_FUEL_HEAT,1,0.0,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,463333.0,$/PJ,0.8871931,,,0,$5/MWh thermal demand
cb:inen:technical_savings:fuel_switch:lo_heat,TX:INEN:SHIFT_FUEL_HEAT,1,0.0,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,-83400.0,$/PJ,1.0,,,0,$0.90/MWh thermal demand
cb:inen:technical_cost:fuel_switch:hi_heat,TX:INEN:SHIFT_FUEL_HEAT,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,1390000.0,$/PJ,1.0,,,0,$15/mwh
cb:inen:technical_savings:fuel_switch:hi_heat,TX:INEN:SHIFT_FUEL_HEAT,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,-83400.0,$/PJ,1.0,,,0,$0.90/MWh thermal demand
cb:inen:technical_cost:fuel_switch:all,TX:INEN:SHIFT_FUEL_HEAT,1,0.0,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,649000.0,$/PJ,0.8871931,,,0,$7/MWh thermal
cb:inen:technical_savings:fuel_switch:all,TX:INEN:SHIFT_FUEL_HEAT,1,0.0,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,-83400.0,$/PJ,1.0,,,0,$0.90/MWh thermal demand
cb:inen:technical_cost:efficiency:X,TX:INEN:INC_EFFICIENCY_ENERGY,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,10000000.0,$/PJ,1.0,,,0,$10/GJ
cb:trns:technical_cost:electrification:LDV,TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,vehicle_distance_traveled_trns_road_light_electricity,-0.039,$/vkm,0.9,,,0,$0.039/km
cb:trns:technical_savings:electrification:LDV,TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,vehicle_distance_traveled_trns_road_light_electricity,0.012,$/vkm,1.0,,,0,$0.012/km
cb:trns:technical_cost:electrification:rail,TX:TRNS:SHIFT_FUEL_RAIL,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_trns_rail_*_electricity,-422400000.0,$/PJ,1.0,,,1,$0.0025/mt-km and /pkm
cb:trns:technical_savings:electrification:rail,TX:TRNS:SHIFT_FUEL_RAIL,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_trns_rail_*_electricity,2377710.0,$/PJ,1.0,,,1,$0.0003/mt-km and $/pkm
cb:trns:technical_cost:fuel_switch:maritime,TX:TRNS:SHIFT_FUEL_MARITIME,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_scale_variable_in_strategy,mass_distance_traveled_trns_mt_km_water_borne,-351.0,$/mtkm,1.0,,,0,$0.0003/tkm
cb:trns:technical_cost:electrification:hdv_vehicles,TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,vehicle_distance_traveled_trns_road_heavy_*_electricity|vehicle_distance_traveled_trns_public*electricity,-0.042,$/vkm,0.9,,,0,$0.042/km
cb:trns:technical_savings:electrification:hdv_vehicles,TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,vehicle_distance_traveled_trns_road_heavy_*_electricity|vehicle_distance_traveled_trns_public*electricity,0.02,$/vkm,0.9,,,0,$0.02/km
cb:trns:technical_cost:electrification:hdv_charger,TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_trns_road_heavy_*_electricity|energy_consumption_trns_public*electricity,-3177614.0,$/PJ,1.0,,,0,$0.011/kwh
cb:trns:technical_cost:efficiency:electric,TX:TRNS:INC_EFFICIENCY_ELECTRIC,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_trns_total,880000.0,$/PJ,1.0,,,0,$0.88M/PJ
cb:trns:technical_cost:efficiency:non_electric,TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_fraction_change,energy_consumption_trns_total,880000.0,$/PJ,1.0,fuelefficiency_trns_road_light_gasoline_km_per_litre,0.0,0,$0.88M/PJ
cb:trns:technical_cost:efficiency:all,TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_fraction_change,energy_consumption_trns_total,880000.0,$/PJ,1.0,fuelefficiency_trns_road_light_gasoline_km_per_litre,0.0,0,$0.88M/PJ
cb:scoe:technical_cost:efficiency:appliance,TX:SCOE:INC_EFFICIENCY_APPLIANCE,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_scoe_total,5560000.0,$/PJ,1.0,,,0,$0.02/kwh
cb:scoe:technical_cost:fuel_switch:heat_pumps,TX:SCOE:SHIFT_FUEL_HEAT,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_scoe_total,463333.3333,$/PJ,0.8871931,,,0,$5/MWh thermal demand
cb:scoe:technical_savings:fuel_switch:heat_pumps,TX:SCOE:SHIFT_FUEL_HEAT,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_scoe_total,-83400.0,$/PJ,1.0,,,0,$0.90/MWh thermal demand
cb:scoe:technical_cost:efficiency:building_shell,TX:SCOE:DEC_DEMAND_HEAT,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_scoe_total,5560000.0,$/PJ,1.0,,,0,$0.02/kwh
cb:entc:technical_cost:loss_reduction:electricity,TX:ENTC:DEC_LOSSES,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_entc_reduce_losses,energy_consumption_inen_total,,,,,,0,Varies by country
