strategy_code,future_id,region,time_period,difference_variable,difference_value,variable,value
PFLO:CONSTRAINED,0.0,iran,7.0,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
PFLO:CONSTRAINED,0.0,iran,8.0,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
PFLO:CONSTRAINED,0.0,iran,9.0,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
PFLO:CONSTRAINED,0.0,iran,10.0,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
PFLO:CONSTRAINED,0.0,iran,11.0,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
PFLO:CONSTRAINED,0.0,iran,12.0,pop_lvst_buffalo,402.0,cb:lvst:lvst_value:livestock_produced:buffalo,104520.0
PFLO:CONSTRAINED,0.0,iran,13.0,pop_lvst_buffalo,800.0,cb:lvst:lvst_value:livestock_produced:buffalo,208000.0
PFLO:CONSTRAINED,0.0,iran,14.0,pop_lvst_buffalo,1196.0,cb:lvst:lvst_value:livestock_produced:buffalo,310960.0
PFLO:CONSTRAINED,0.0,iran,15.0,pop_lvst_buffalo,1590.0,cb:lvst:lvst_value:livestock_produced:buffalo,413400.0
PFLO:CONSTRAINED,0.0,iran,16.0,pop_lvst_buffalo,1980.0,cb:lvst:lvst_value:livestock_produced:buffalo,514800.0
PFLO:CONSTRAINED,0.0,iran,17.0,pop_lvst_buffalo,2368.0,cb:lvst:lvst_value:livestock_produced:buffalo,615680.0
PFLO:CONSTRAINED,0.0,iran,18.0,pop_lvst_buffalo,2753.0,cb:lvst:lvst_value:livestock_produced:buffalo,715780.0
PFLO:CONSTRAINED,0.0,iran,19.0,pop_lvst_buffalo,3135.0,cb:lvst:lvst_value:livestock_produced:buffalo,815100.0
PFLO:CONSTRAINED,0.0,iran,20.0,pop_lvst_buffalo,3514.0,cb:lvst:lvst_value:livestock_produced:buffalo,913640.0
PFLO:CONSTRAINED,0.0,iran,21.0,pop_lvst_buffalo,3891.0,cb:lvst:lvst_value:livestock_produced:buffalo,1011660.0
PFLO:CONSTRAINED,0.0,iran,22.0,pop_lvst_buffalo,4266.0,cb:lvst:lvst_value:livestock_produced:buffalo,1109160.0
PFLO:CONSTRAINED,0.0,iran,23.0,pop_lvst_buffalo,4639.0,cb:lvst:lvst_value:livestock_produced:buffalo,1206140.0
PFLO:CONSTRAINED,0.0,iran,24.0,pop_lvst_buffalo,5008.0,cb:lvst:lvst_value:livestock_produced:buffalo,1302080.0
PFLO:CONSTRAINED,0.0,iran,25.0,pop_lvst_buffalo,5376.0,cb:lvst:lvst_value:livestock_produced:buffalo,1397760.0
PFLO:CONSTRAINED,0.0,iran,26.0,pop_lvst_buffalo,5741.0,cb:lvst:lvst_value:livestock_produced:buffalo,1492660.0
PFLO:CONSTRAINED,0.0,iran,27.0,pop_lvst_buffalo,6104.0,cb:lvst:lvst_value:livestock_produced:buffalo,1587040.0
PFLO:CONSTRAINED,0.0,iran,28.0,pop_lvst_buffalo,6465.0,cb:lvst:lvst_value:livestock_produced:buffalo,1680900.0
PFLO:CONSTRAINED,0.0,iran,29.0,pop_lvst_buffalo,6823.0,cb:lvst:lvst_value:livestock_produced:buffalo,1773980.0
PFLO:CONSTRAINED,0.0,iran,30.0,pop_lvst_buffalo,7180.0,cb:lvst:lvst_value:livestock_produced:buffalo,1866800.0
PFLO:CONSTRAINED,0.0,iran,31.0,pop_lvst_buffalo,7535.0,cb:lvst:lvst_value:livestock_produced:buffalo,1959100.0
PFLO:CONSTRAINED,0.0,iran,32.0,pop_lvst_buffalo,7887.0,cb:lvst:lvst_value:livestock_produced:buffalo,2050620.0
PFLO:CONSTRAINED,0.0,iran,33.0,pop_lvst_buffalo,8237.0,cb:lvst:lvst_value:livestock_produced:buffalo,2141620.0
PFLO:CONSTRAINED,0.0,iran,34.0,pop_lvst_buffalo,8585.0,cb:lvst:lvst_value:livestock_produced:buffalo,2232100.0
PFLO:CONSTRAINED,0.0,iran,35.0,pop_lvst_buffalo,8932.0,cb:lvst:lvst_value:livestock_produced:buffalo,2322320.0
PFLO:CONSTRAINED,0.0,iran,7.0,pop_lvst_cattle_dairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,0.0
PFLO:CONSTRAINED,0.0,iran,8.0,pop_lvst_cattle_dairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,0.0
PFLO:CONSTRAINED,0.0,iran,9.0,pop_lvst_cattle_dairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,0.0
PFLO:CONSTRAINED,0.0,iran,10.0,pop_lvst_cattle_dairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,0.0
PFLO:CONSTRAINED,0.0,iran,11.0,pop_lvst_cattle_dairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,0.0
PFLO:CONSTRAINED,0.0,iran,12.0,pop_lvst_cattle_dairy,18181.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,4727060.0
PFLO:CONSTRAINED,0.0,iran,13.0,pop_lvst_cattle_dairy,36229.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,9419540.0
PFLO:CONSTRAINED,0.0,iran,14.0,pop_lvst_cattle_dairy,54146.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,14077960.0
