strategy_code,future_id,region,time_period,difference_variable,difference_value,variable,value
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,7,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,8,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,9,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,10,pop_lvst_buffalo,973.0,cb:lvst:lvst_value:livestock_produced:buffalo,252980.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,11,pop_lvst_buffalo,1380.0,cb:lvst:lvst_value:livestock_produced:buffalo,358800.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,12,pop_lvst_buffalo,1787.0,cb:lvst:lvst_value:livestock_produced:buffalo,464620.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,13,pop_lvst_buffalo,2185.0,cb:lvst:lvst_value:livestock_produced:buffalo,568100.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,14,pop_lvst_buffalo,2571.0,cb:lvst:lvst_value:livestock_produced:buffalo,668460.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,15,pop_lvst_buffalo,2942.0,cb:lvst:lvst_value:livestock_produced:buffalo,764920.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,16,pop_lvst_buffalo,3295.0,cb:lvst:lvst_value:livestock_produced:buffalo,856700.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,17,pop_lvst_buffalo,3634.0,cb:lvst:lvst_value:livestock_produced:buffalo,944840.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,18,pop_lvst_buffalo,3955.0,cb:lvst:lvst_value:livestock_produced:buffalo,1028300.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,19,pop_lvst_buffalo,4257.0,cb:lvst:lvst_value:livestock_produced:buffalo,1106820.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,20,pop_lvst_buffalo,4540.0,cb:lvst:lvst_value:livestock_produced:buffalo,1180400.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,21,pop_lvst_buffalo,4802.0,cb:lvst:lvst_value:livestock_produced:buffalo,1248520.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,22,pop_lvst_buffalo,5041.0,cb:lvst:lvst_value:livestock_produced:buffalo,1310660.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,23,pop_lvst_buffalo,5258.0,cb:lvst:lvst_value:livestock_produced:buffalo,1367080.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,24,pop_lvst_buffalo,5448.0,cb:lvst:lvst_value:livestock_produced:buffalo,1416480.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,25,pop_lvst_buffalo,5612.0,cb:lvst:lvst_value:livestock_produced:buffalo,1459120.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,26,pop_lvst_buffalo,5750.0,cb:lvst:lvst_value:livestock_produced:buffalo,1495000.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,27,pop_lvst_buffalo,5858.0,cb:lvst:lvst_value:livestock_produced:buffalo,1523080.0
TORNADO:LNDU:DEC_DEFORESTATION,0,iran,28,pop_lvst_buffalo,5938.0,cb:lvst:lvst_value:livestock_produced:buffalo,1543880.0
